Months,Price ppl,Volume (million litres),Butterfat (%),Protein (%),,,,
Jan-70,4.08,,,,,,,
Feb-70,4.09,,,,,,,
Mar-70,4.07,,,,,,,
Apr-70,3.73,,,,,,,
May-70,2.90,,,,,,,
Jun-70,2.86,,,,,,,
Jul-70,3.31,,,,,,,
Aug-70,3.71,,,,,,,
Sep-70,3.92,,,,,,,
Oct-70,4.24,,,,,,,
Nov-70,4.23,,,,,,,
Dec-70,4.38,,,,,,,
Jan-71,4.35,,,,,,,
Feb-71,4.39,,,,,,,
Mar-71,4.43,,,,,,,
Apr-71,4.10,,,,,,,
May-71,3.22,,,,,,,
Jun-71,3.26,,,,,,,
Jul-71,3.73,,,,,,,
Aug-71,4.14,,,,,,,
Sep-71,4.50,,,,,,,
Oct-71,4.56,,,,,,,
Nov-71,4.74,,,,,,,
Dec-71,4.74,,,,,,,
Jan-72,4.74,,,,,,,
Feb-72,4.82,,,,,,,
Mar-72,4.72,,,,,,,
Apr-72,4.46,,,,,,,
May-72,3.59,,,,,,,
Jun-72,3.57,,,,,,,
Jul-72,3.91,,,,,,,
Aug-72,4.30,,,,,,,
Sep-72,4.65,,,,,,,
Oct-72,4.67,,,,,,,
Nov-72,4.74,,,,,,,
Dec-72,4.76,,,,,,,
Jan-73,4.78,,,,,,,
Feb-73,4.81,,,,,,,
Mar-73,4.75,,,,,,,
Apr-73,4.66,,,,,,,
May-73,3.80,,,,,,,
Jun-73,3.81,,,,,,,
Jul-73,4.21,,,,,,,
Aug-73,4.66,,,,,,,
Sep-73,5.08,,,,,,,
Oct-73,5.15,,,,,,,
Nov-73,6.46,,,,,,,
Dec-73,6.46,,,,,,,
Jan-74,6.53,,,,,,,
Feb-74,6.46,,,,,,,
Mar-74,5.62,,,,,,,
Apr-74,5.50,,,,,,,
May-74,4.65,,,,,,,
Jun-74,4.67,,,,,,,
Jul-74,5.05,,,,,,,
Aug-74,5.40,,,,,,,
Sep-74,5.82,,,,,,,
Oct-74,7.61,,,,,,,
Nov-74,7.69,,,,,,,
Dec-74,7.69,,,,,,,
Jan-75,7.79,,,,,,,
Feb-75,7.76,,,,,,,
Mar-75,7.62,,,,,,,
Apr-75,7.35,,,,,,,
May-75,6.47,,,,,,,
Jun-75,6.47,,,,,,,
Jul-75,6.84,,,,,,,
Aug-75,7.27,,,,,,,
Sep-75,8.85,,,,,,,
Oct-75,8.61,,,,,,,
Nov-75,8.69,,,,,,,
Dec-75,8.74,,,,,,,
Jan-76,8.80,,,,,,,
Feb-76,8.76,,,,,,,
Mar-76,8.63,,,,,,,
Apr-76,9.06,,,,,,,
May-76,8.19,,,,,,,
Jun-76,8.16,,,,,,,
Jul-76,8.59,,,,,,,
Aug-76,9.05,,,,,,,
Sep-76,9.82,,,,,,,
Oct-76,9.90,,,,,,,
Nov-76,9.98,,,,,,,
Dec-76,10.03,,,,,,,
Jan-77,10.15,,,,,,,
Feb-77,10.10,,,,,,,
Mar-77,10.05,,,,,,,
Apr-77,9.80,,,,,,,
May-77,8.97,,,,,,,
Jun-77,8.97,,,,,,,
Jul-77,9.35,,,,,,,
Aug-77,9.78,,,,,,,
Sep-77,10.13,,,,,,,
Oct-77,10.70,,,,,,,
Nov-77,10.78,,,,,,,
Dec-77,10.45,,,,,,,
Jan-78,10.43,,,,,,,
Feb-78,10.25,,,,,,,
Mar-78,10.12,,,,,,,
Apr-78,10.15,,,,,,,
May-78,9.44,,,,,,,
Jun-78,9.45,,,,,,,
Jul-78,9.79,,,,,,,
Aug-78,10.22,,,,,,,
Sep-78,10.59,,,,,,,
Oct-78,11.16,,,,,,,
Nov-78,11.26,,,,,,,
Dec-78,11.24,,,,,,,
Jan-79,11.29,,,,,,,
Feb-79,11.25,,,,,,,
Mar-79,11.12,,,,,,,
Apr-79,11.05,,,,,,,
May-79,10.19,,,,,,,
Jun-79,10.17,,,,,,,
Jul-79,10.55,,,,,,,
Aug-79,11.00,,,,,,,
Sep-79,11.35,,,,,,,
Oct-79,11.91,,,,,,,
Nov-79,12.23,,,,,,,
Dec-79,12.26,,,,,,,
Jan-80,12.41,,,,,,,
Feb-80,12.92,,,,,,,
Mar-80,12.80,,,,,,,
Apr-80,12.47,,,,,,,
May-80,11.56,,,,,,,
Jun-80,11.55,,,,,,,
Jul-80,11.93,,,,,,,
Aug-80,12.37,,,,,,,
Sep-80,12.72,,,,,,,
Oct-80,13.29,,,,,,,
Nov-80,13.40,,,,,,,
Dec-80,13.44,,,,,,,
Jan-81,13.45,,,,,,,
Feb-81,13.41,,,,,,,
Mar-81,13.28,,,,,,,
Apr-81,13.43,,,,,,,
May-81,12.60,,,,,,,
Jun-81,12.59,,,,,,,
Jul-81,12.97,,,,,,,
Aug-81,13.40,,,,,,,
Sep-81,13.75,,,,,,,
Oct-81,14.32,,,,,,,
Nov-81,14.42,,,,,,,
Dec-81,14.46,,,,,,,
Jan-82,14.48,,,,,,,
Feb-82,14.43,,,,,,,
Mar-82,14.30,,,,,,,
Apr-82,14.41,,,,,,,
May-82,13.76,,,,,,,
Jun-82,13.58,,,,,,,
Jul-82,13.96,,,,,,,
Aug-82,14.38,,,,,,,
Sep-82,14.73,,,,,,,
Oct-82,15.44,,,,,,,
Nov-82,15.50,,,,,,,
Dec-82,15.54,,,,,,,
Jan-83,15.52,,,,,,,
Feb-83,15.56,,,,,,,
Mar-83,15.38,,,,,,,
Apr-83,14.28,,,,,,,
May-83,13.45,,,,,,,
Jun-83,13.45,,,,,,,
Jul-83,13.74,,,,,,,
Aug-83,14.17,,,,,,,
Sep-83,14.62,,,,,,,
Oct-83,15.27,,,,,,,
Nov-83,15.41,,,,,,,
Dec-83,15.45,,,,,,,
Jan-84,15.48,,,,,,,
Feb-84,15.50,,,,,,,
Mar-84,15.31,,,,,,,
Apr-84,13.80,,,,,,,
May-84,12.17,,,,,,,
Jun-84,12.33,,,,,,,
Jul-84,14.27,,,,,,,
Aug-84,15.41,,,,,,,
Sep-84,15.94,,,,,,,
Oct-84,15.80,,,,,,,
Nov-84,15.48,,,,,,,
Dec-84,15.32,,,,,,,
Jan-85,15.36,,,,,,,
Feb-85,15.36,,,,,,,
Mar-85,14.98,,,,,,,
Apr-85,14.28,,,,,,,
May-85,12.71,,,,,,,
Jun-85,12.87,,,,,,,
Jul-85,14.89,,,,,,,
Aug-85,15.22,,,,,,,
Sep-85,16.46,,,,,,,
Oct-85,16.23,,,,,,,
Nov-85,16.19,,,,,,,
Dec-85,15.76,,,,,,,
Jan-86,15.73,,,,,,,
Feb-86,15.47,,,,,,,
Mar-86,15.04,,,,,,,
Apr-86,14.88,,,,,,,
May-86,13.28,,,,,,,
Jun-86,13.42,,,,,,,
Jul-86,15.53,,,,,,,
Aug-86,16.84,,,,,,,
Sep-86,17.21,,,,,,,
Oct-86,16.97,,,,,,,
Nov-86,16.78,,,,,,,
Dec-86,16.48,,,,,,,
Jan-87,16.45,,,,,,,
Feb-87,16.33,,,,,,,
Mar-87,16.05,,,,,,,
Apr-87,15.35,,,,,,,
May-87,13.89,,,,,,,
Jun-87,14.13,,,,,,,
Jul-87,16.22,,,,,,,
Aug-87,17.33,,,,,,,
Sep-87,17.74,,,,,,,
Oct-87,17.45,,,,,,,
Nov-87,17.06,,,,,,,
Dec-87,16.97,,,,,,,
Jan-88,16.75,,,,,,,
Feb-88,16.72,,,,,,,
Mar-88,16.52,,,,,,,
Apr-88,16.68,,,,,,,
May-88,15.05,,,,,,,
Jun-88,15.60,,,,,,,
Jul-88,18.16,,,,,,,
Aug-88,19.45,,,,,,,
Sep-88,19.28,,,,,,,
Oct-88,18.53,,,,,,,
Nov-88,18.31,,,,,,,
Dec-88,17.81,,,,,,,
Jan-89,17.58,,,,,,,
Feb-89,17.61,,,,,,,
Mar-89,17.71,,,,,,,
Apr-89,16.44,,,,,,,
May-89,14.91,,,,,,,
Jun-89,15.65,,,,,,,
Jul-89,20.74,,,,,,,
Aug-89,22.16,,,,,,,
Sep-89,21.89,,,,,,,
Oct-89,21.44,,,,,,,
Nov-89,18.17,,,,,,,
Dec-89,18.24,,,,,,,
Jan-90,18.30,,,,,,,
Feb-90,18.12,,,,,,,
Mar-90,17.91,,,,,,,
Apr-90,16.68,,,,,,,
May-90,14.89,,,,,,,
Jun-90,15.57,,,,,,,
Jul-90,20.83,,,,,,,
Aug-90,21.98,,,,,,,
Sep-90,21.76,,,,,,,
Oct-90,21.20,,,,,,,
Nov-90,18.18,,,,,,,
Dec-90,18.13,,,,,,,
Jan-91,18.98,,,,,,,
Feb-91,18.95,,,,,,,
Mar-91,18.43,,,,,,,
Apr-91,18.04,,,,,,,
May-91,16.22,,,,,,,
Jun-91,16.89,,,,,,,
Jul-91,22.45,,,,,,,
Aug-91,23.99,,,,,,,
Sep-91,23.59,,,,,,,
Oct-91,23.45,,,,,,,
Nov-91,19.98,,,,,,,
Dec-91,19.77,,,,,,,
Jan-92,19.54,,,,,,,
Feb-92,19.52,,,,,,,
Mar-92,19.30,,,,,,,
Apr-92,18.98,,,,,,,
May-92,17.08,,,,,,,
Jun-92,17.54,,,,,,,
Jul-92,23.49,,,,,,,
Aug-92,25.15,,,,,,,
Sep-92,25.04,,,,,,,
Oct-92,24.61,,,,,,,
Nov-92,21.12,,,,,,,
Dec-92,20.99,,,,,,,
Jan-93,20.69,,,,,,,
Feb-93,20.40,,,,,,,
Mar-93,20.21,,,,,,,
Apr-93,20.00,,,,,,,
May-93,18.10,,,,,,,
Jun-93,18.54,,,,,,,
Jul-93,24.54,,,,,,,
Aug-93,26.21,,,,,,,
Sep-93,26.05,,,,,,,
Oct-93,25.60,,,,,,,
Nov-93,21.92,,,,,,,
Dec-93,21.53,,,,,,,
Jan-94,21.04,,,,,,,
Feb-94,20.79,,,,,,,
Mar-94,20.61,,,,,,,
Apr-94,19.31,,4.08,,,,,
May-94,18.92,,3.96,,,,,
Jun-94,20.17,,3.89,,,,,
Jul-94,24.06,,3.96,,,,,
Aug-94,24.27,,4.01,,,,,
Sep-94,24.22,,4.19,,,,,
Oct-94,23.39,,4.23,,,,,
Nov-94 (2),24.34,"1,102",4.15,3.26,,,,
Dec-94 (2),24.09,"1,131",4.12,3.21,,,,
Jan-95,23.81,"1,114",4.14,3.16,,,,
Feb-95,23.59,989,4.08,3.12,,,,
Mar-95,23.73,"1,077",4.12,3.14,,,,
Apr-95,22.46,"1,177",4.07,3.16,,,,
May-95,22.08,"1,305",3.92,3.29,,,,
Jun-95,23.60,"1,195",3.95,3.31,,,,
Jul-95,26.03,"1,154",3.92,3.20,,,,
Aug-95,26.06,"1,109",3.92,3.18,,,,
Sep-95,26.10,"1,080",4.07,3.29,,,,
Oct-95,26.30,"1,163",4.15,3.36,,,,
Nov-95,25.13,"1,129",4.17,3.35,,,,
Dec-95,25.06,"1,177",4.15,3.30,,,,
Jan-96,24.59,"1,200",4.11,3.22,,,,
Feb-96,24.62,"1,074",4.13,3.20,,,,
Mar-96,24.93,"1,101",4.13,3.20,,,,
Apr-96,23.56,"1,191",4.09,3.18,,,,
May-96,22.66,"1,310",3.98,3.36,,,,
Jun-96,23.83,"1,217",3.94,3.33,,,,
Jul-96,26.69,"1,156",3.97,3.32,,,,
Aug-96,26.87,"1,113",4.03,3.28,,,,
Sep-96,26.60,"1,078",4.07,3.37,,,,
Oct-96,25.62,"1,076",4.17,3.38,,,,
Nov-96,24.64,"1,030",4.19,3.34,,,,
Dec-96,24.43,"1,106",4.22,3.30,,,,
Jan-97,24.10,"1,148",4.17,3.25,,,,
Feb-97,23.73,"1,064",4.12,3.19,,,,
Mar-97,23.68,"1,200",4.08,3.19,,,,
Apr-97,20.50,"1,257",4.06,3.30,,,,
May-97,19.56,"1,317",4.00,3.33,,,,
Jun-97,20.71,"1,198",3.98,3.33,,,,
Jul-97,23.88,"1,164",3.97,3.30,,,,
Aug-97,23.69,"1,123",3.97,3.28,,,,
Sep-97,22.79,"1,070",4.06,3.38,,,,
Oct-97,20.82,"1,101",4.16,3.39,,,,
Nov-97,20.39,"1,066",4.17,3.36,,,,
Dec-97,20.09,"1,140",4.13,3.30,,,,
Jan-98,19.96,"1,167",4.12,3.25,,,,
Feb-98,19.77,"1,060",4.09,3.22,,,,
Mar-98,19.70,"1,165",4.10,3.19,,,,
Apr-98,17.57,"1,177",4.14,3.21,,,,
May-98,16.60,"1,290",3.99,3.31,,,,
Jun-98,17.66,"1,173",4.00,3.31,,,,
Jul-98,20.66,"1,163",3.95,3.33,,,,
Aug-98,20.80,"1,131",3.97,3.35,,,,
Sep-98,19.98,"1,073",4.07,3.40,,,,
Oct-98,20.15,"1,092",4.15,3.41,,,,
Nov-98,19.60,"1,039",4.15,3.33,,,,
Dec-98,19.23,"1,127",4.12,3.26,,,,
Jan-99,19.23,"1,170",4.08,3.22,,,,
Feb-99,18.95,"1,080",4.07,3.21,,,,
Mar-99,18.90,"1,232",4.06,3.21,,,,
Apr-99,17.53,"1,242",4.06,3.22,,,,
May-99,16.38,"1,339",3.92,3.31,,,,
Jun-99,17.20,"1,215",3.90,3.31,,,,
Jul-99,19.76,"1,212",3.88,3.30,,,,
Aug-99,19.80,"1,161",3.94,3.32,,,,
Sep-99,19.14,"1,105",4.02,3.40,,,,
Oct-99,18.09,"1,102",4.15,3.43,,,,
Nov-99,17.66,"1,062",4.17,3.37,,,,
Dec-99,17.33,"1,119",4.14,3.31,,,,
Jan-00,16.77,"1,149",4.08,3.24,,,,
Feb-00,16.59,"1,076",4.04,3.21,,,,
Mar-00,16.61,"1,148",4.03,3.20,,,,
Apr-00,15.26,"1,177",4.06,3.22,,,,
May-00,14.62,"1,292",3.91,3.30,,,,
Jun-00,15.34,"1,169",3.90,3.29,,,,
Jul-00,17.62,"1,175",3.86,3.29,,,,
Aug-00,17.92,"1,133",3.92,3.31,,,,
Sep-00,17.51,"1,058",4.04,3.39,,,,
Oct-00,18.80,"1,043",4.15,3.37,,,,
Nov-00,18.59,"1,006",4.16,3.33,,,,
Dec-00,18.24,"1,103",4.08,3.28,,,,
Jan-01,18.32,"1,142",4.06,3.24,,,,
Feb-01,18.18,"1,062",4.02,3.21,,,,
Mar-01,17.88,"1,191",4.06,3.21,,,,
Apr-01,18.44,"1,168",4.05,3.20,,,,
May-01,17.89,"1,304",3.85,3.27,,,,
Jun-01,18.69,"1,220",3.84,3.28,,,,
Jul-01,20.43,"1,187",3.86,3.26,,,,
Aug-01,20.85,"1,136",3.90,3.29,,,,
Sep-01,20.69,"1,061",4.01,3.42,,,,
Oct-01,20.46,"1,074",4.11,3.39,,,,
Nov-01,20.05,"1,064",4.12,3.38,,,,
Dec-01,19.59,"1,137",4.11,3.34,,,,
Jan-02,18.78,"1,175",4.07,3.28,,,,
Feb-02,18.31,"1,084",4.03,3.22,,,,
Mar-02,18.00,"1,229",4.05,3.23,,,,
Apr-02,15.98,"1,273",3.99,3.26,,,,
May-02,14.85,"1,354",3.89,3.32,,,,
Jun-02,15.32,"1,215",3.89,3.28,,,,
Jul-02,16.40,"1,199",3.84,3.28,,,,
Aug-02,16.73,"1,139",3.86,3.29,,,,
Sep-02,17.11,"1,071",3.95,3.38,,,,
Oct-02,18.13,"1,076",4.08,3.41,,,,
Nov-02,18.09,"1,025",4.12,3.35,,,,
Dec-02,17.74,"1,105",4.08,3.30,,,,
Jan-03,17.67,"1,141",4.02,3.25,,,,
Feb-03,17.65,"1,049",4.02,3.25,,,,
Mar-03,17.37,"1,214",3.98,3.21,,,,
