Months,Price,Volume,Butterfat,Protein
1970-01,4.08,,,
1970-02,4.09,,,
1970-03,4.07,,,
1970-04,3.73,,,
1970-05,2.90,,,
1970-06,2.86,,,
1970-07,3.31,,,
1970-08,3.71,,,
1970-09,3.92,,,
1970-10,4.24,,,
1970-11,4.23,,,
1970-12,4.38,,,
1971-01,4.35,,,
1971-02,4.39,,,
1971-03,4.43,,,
1971-04,4.10,,,
1971-05,3.22,,,
1971-06,3.26,,,
1971-07,3.73,,,
1971-08,4.14,,,
1971-09,4.50,,,
1971-10,4.56,,,
1971-11,4.74,,,
1971-12,4.74,,,
1972-01,4.74,,,
1972-02,4.82,,,
1972-03,4.72,,,
1972-04,4.46,,,
1972-05,3.59,,,
1972-06,3.57,,,
1972-07,3.91,,,
1972-08,4.30,,,
1972-09,4.65,,,
1972-10,4.67,,,
1972-11,4.74,,,
1972-12,4.76,,,
1973-01,4.78,,,
1973-02,4.81,,,
1973-03,4.75,,,
1973-04,4.66,,,
1973-05,3.80,,,
1973-06,3.81,,,
1973-07,4.21,,,
1973-08,4.66,,,
1973-09,5.08,,,
1973-10,5.15,,,
1973-11,6.46,,,
1973-12,6.46,,,
1974-01,6.53,,,
1974-02,6.46,,,
1974-03,5.62,,,
1974-04,5.50,,,
1974-05,4.65,,,
1974-06,4.67,,,
1974-07,5.05,,,
1974-08,5.40,,,
1974-09,5.82,,,
1974-10,7.61,,,
1974-11,7.69,,,
1974-12,7.69,,,
1975-01,7.79,,,
1975-02,7.76,,,
1975-03,7.62,,,
1975-04,7.35,,,
1975-05,6.47,,,
1975-06,6.47,,,
1975-07,6.84,,,
1975-08,7.27,,,
1975-09,8.85,,,
1975-10,8.61,,,
1975-11,8.69,,,
1975-12,8.74,,,
1976-01,8.80,,,
1976-02,8.76,,,
1976-03,8.63,,,
1976-04,9.06,,,
1976-05,8.19,,,
1976-06,8.16,,,
1976-07,8.59,,,
1976-08,9.05,,,
1976-09,9.82,,,
1976-10,9.90,,,
1976-11,9.98,,,
1976-12,10.03,,,
1977-01,10.15,,,
1977-02,10.10,,,
1977-03,10.05,,,
1977-04,9.80,,,
1977-05,8.97,,,
1977-06,8.97,,,
1977-07,9.35,,,
1977-08,9.78,,,
1977-09,10.13,,,
1977-10,10.70,,,
1977-11,10.78,,,
1977-12,10.45,,,
1978-01,10.43,,,
1978-02,10.25,,,
1978-03,10.12,,,
1978-04,10.15,,,
1978-05,9.44,,,
1978-06,9.45,,,
1978-07,9.79,,,
1978-08,10.22,,,
1978-09,10.59,,,
1978-10,11.16,,,
1978-11,11.26,,,
1978-12,11.24,,,
1979-01,11.29,,,
1979-02,11.25,,,
1979-03,11.12,,,
1979-04,11.05,,,
1979-05,10.19,,,
1979-06,10.17,,,
1979-07,10.55,,,
1979-08,11.00,,,
1979-09,11.35,,,
1979-10,11.91,,,
1979-11,12.23,,,
1979-12,12.26,,,
1980-01,12.41,,,
1980-02,12.92,,,
1980-03,12.80,,,
1980-04,12.47,,,
1980-05,11.56,,,
1980-06,11.55,,,
1980-07,11.93,,,
1980-08,12.37,,,
1980-09,12.72,,,
1980-10,13.29,,,
1980-11,13.40,,,
1980-12,13.44,,,
1981-01,13.45,,,
1981-02,13.41,,,
1981-03,13.28,,,
1981-04,13.43,,,
1981-05,12.60,,,
1981-06,12.59,,,
1981-07,12.97,,,
1981-08,13.40,,,
1981-09,13.75,,,
1981-10,14.32,,,
1981-11,14.42,,,
1981-12,14.46,,,
1982-01,14.48,,,
1982-02,14.43,,,
1982-03,14.30,,,
1982-04,14.41,,,
1982-05,13.76,,,
1982-06,13.58,,,
1982-07,13.96,,,
1982-08,14.38,,,
1982-09,14.73,,,
1982-10,15.44,,,
1982-11,15.50,,,
1982-12,15.54,,,
1983-01,15.52,,,
1983-02,15.56,,,
1983-03,15.38,,,
1983-04,14.28,,,
1983-05,13.45,,,
1983-06,13.45,,,
1983-07,13.74,,,
1983-08,14.17,,,
1983-09,14.62,,,
1983-10,15.27,,,
1983-11,15.41,,,
1983-12,15.45,,,
1984-01,15.48,,,
1984-02,15.50,,,
1984-03,15.31,,,
1984-04,13.80,,,
1984-05,12.17,,,
1984-06,12.33,,,
1984-07,14.27,,,
1984-08,15.41,,,
1984-09,15.94,,,
1984-10,15.80,,,
1984-11,15.48,,,
1984-12,15.32,,,
1985-01,15.36,,,
1985-02,15.36,,,
1985-03,14.98,,,
1985-04,14.28,,,
1985-05,12.71,,,
1985-06,12.87,,,
1985-07,14.89,,,
1985-08,15.22,,,
1985-09,16.46,,,
1985-10,16.23,,,
1985-11,16.19,,,
1985-12,15.76,,,
1986-01,15.73,,,
1986-02,15.47,,,
1986-03,15.04,,,
1986-04,14.88,,,
1986-05,13.28,,,
1986-06,13.42,,,
1986-07,15.53,,,
1986-08,16.84,,,
1986-09,17.21,,,
1986-10,16.97,,,
1986-11,16.78,,,
1986-12,16.48,,,
1987-01,16.45,,,
1987-02,16.33,,,
1987-03,16.05,,,
1987-04,15.35,,,
1987-05,13.89,,,
1987-06,14.13,,,
1987-07,16.22,,,
1987-08,17.33,,,
1987-09,17.74,,,
1987-10,17.45,,,
1987-11,17.06,,,
1987-12,16.97,,,
1988-01,16.75,,,
1988-02,16.72,,,
1988-03,16.52,,,
1988-04,16.68,,,
1988-05,15.05,,,
1988-06,15.60,,,
1988-07,18.16,,,
1988-08,19.45,,,
1988-09,19.28,,,
1988-10,18.53,,,
1988-11,18.31,,,
1988-12,17.81,,,
1989-01,17.58,,,
1989-02,17.61,,,
1989-03,17.71,,,
1989-04,16.44,,,
1989-05,14.91,,,
1989-06,15.65,,,
1989-07,20.74,,,
1989-08,22.16,,,
1989-09,21.89,,,
1989-10,21.44,,,
1989-11,18.17,,,
1989-12,18.24,,,
1990-01,18.30,,,
1990-02,18.12,,,
1990-03,17.91,,,
1990-04,16.68,,,
1990-05,14.89,,,
1990-06,15.57,,,
1990-07,20.83,,,
1990-08,21.98,,,
1990-09,21.76,,,
1990-10,21.20,,,
1990-11,18.18,,,
1990-12,18.13,,,
1991-01,18.98,,,
1991-02,18.95,,,
1991-03,18.43,,,
1991-04,18.04,,,
1991-05,16.22,,,
1991-06,16.89,,,
1991-07,22.45,,,
1991-08,23.99,,,
1991-09,23.59,,,
1991-10,23.45,,,
1991-11,19.98,,,
1991-12,19.77,,,
1992-01,19.54,,,
1992-02,19.52,,,
1992-03,19.30,,,
1992-04,18.98,,,
1992-05,17.08,,,
1992-06,17.54,,,
1992-07,23.49,,,
1992-08,25.15,,,
1992-09,25.04,,,
1992-10,24.61,,,
1992-11,21.12,,,
1992-12,20.99,,,
1993-01,20.69,,,
1993-02,20.40,,,
1993-03,20.21,,,
1993-04,20.00,,,
1993-05,18.10,,,
1993-06,18.54,,,
1993-07,24.54,,,
1993-08,26.21,,,
1993-09,26.05,,,
1993-10,25.60,,,
1993-11,21.92,,,
1993-12,21.53,,,
1994-01,21.04,,,
1994-02,20.79,,,
1994-03,20.61,,,
1994-04,19.31,,4.08,
1994-05,18.92,,3.96,
1994-06,20.17,,3.89,
1994-07,24.06,,3.96,
1994-08,24.27,,4.01,
1994-09,24.22,,4.19,
1994-10,23.39,,4.23,
1994-11,24.34,1102,4.15,3.26
1994-12,24.09,1131,4.12,3.21
1995-01,23.81,1114,4.14,3.16
1995-02,23.59,989,4.08,3.12
1995-03,23.73,1077,4.12,3.14
1995-04,22.46,1177,4.07,3.16
1995-05,22.08,1305,3.92,3.29
1995-06,23.60,1195,3.95,3.31
1995-07,26.03,1154,3.92,3.20
1995-08,26.06,1109,3.92,3.18
1995-09,26.10,1080,4.07,3.29
1995-10,26.30,1163,4.15,3.36
1995-11,25.13,1129,4.17,3.35
1995-12,25.06,1177,4.15,3.30
1996-01,24.59,1200,4.11,3.22
1996-02,24.62,1074,4.13,3.20
1996-03,24.93,1101,4.13,3.20
1996-04,23.56,1191,4.09,3.18
1996-05,22.66,1310,3.98,3.36
1996-06,23.83,1217,3.94,3.33
1996-07,26.69,1156,3.97,3.32
1996-08,26.87,1113,4.03,3.28
1996-09,26.60,1078,4.07,3.37
1996-10,25.62,1076,4.17,3.38
1996-11,24.64,1030,4.19,3.34
1996-12,24.43,1106,4.22,3.30
1997-01,24.10,1148,4.17,3.25
1997-02,23.73,1064,4.12,3.19
1997-03,23.68,1200,4.08,3.19
1997-04,20.50,1257,4.06,3.30
1997-05,19.56,1317,4.00,3.33
1997-06,20.71,1198,3.98,3.33
1997-07,23.88,1164,3.97,3.30
1997-08,23.69,1123,3.97,3.28
1997-09,22.79,1070,4.06,3.38
1997-10,20.82,1101,4.16,3.39
1997-11,20.39,1066,4.17,3.36
1997-12,20.09,1140,4.13,3.30
1998-01,19.96,1167,4.12,3.25
1998-02,19.77,1060,4.09,3.22
1998-03,19.70,1165,4.10,3.19
1998-04,17.57,1177,4.14,3.21
1998-05,16.60,1290,3.99,3.31
1998-06,17.66,1173,4.00,3.31
1998-07,20.66,1163,3.95,3.33
1998-08,20.80,1131,3.97,3.35
1998-09,19.98,1073,4.07,3.40
1998-10,20.15,1092,4.15,3.41
1998-11,19.60,1039,4.15,3.33
1998-12,19.23,1127,4.12,3.26
1999-01,19.23,1170,4.08,3.22
1999-02,18.95,1080,4.07,3.21
1999-03,18.90,1232,4.06,3.21
1999-04,17.53,1242,4.06,3.22
1999-05,16.38,1339,3.92,3.31
1999-06,17.20,1215,3.90,3.31
1999-07,19.76,1212,3.88,3.30
1999-08,19.80,1161,3.94,3.32
1999-09,19.14,1105,4.02,3.40
1999-10,18.09,1102,4.15,3.43
1999-11,17.66,1062,4.17,3.37
1999-12,17.33,1119,4.14,3.31
2000-01,16.77,1149,4.08,3.24
2000-02,16.59,1076,4.04,3.21
2000-03,16.61,1148,4.03,3.20
2000-04,15.26,1177,4.06,3.22
2000-05,14.62,1292,3.91,3.30
2000-06,15.34,1169,3.90,3.29
2000-07,17.62,1175,3.86,3.29
2000-08,17.92,1133,3.92,3.31
2000-09,17.51,1058,4.04,3.39
2000-10,18.80,1043,4.15,3.37
2000-11,18.59,1006,4.16,3.33
2000-12,18.24,1103,4.08,3.28
2001-01,18.32,1142,4.06,3.24
2001-02,18.18,1062,4.02,3.21
2001-03,17.88,1191,4.06,3.21
2001-04,18.44,1168,4.05,3.20
2001-05,17.89,1304,3.85,3.27
2001-06,18.69,1220,3.84,3.28
2001-07,20.43,1187,3.86,3.26
2001-08,20.85,1136,3.90,3.29
2001-09,20.69,1061,4.01,3.42
2001-10,20.46,1074,4.11,3.39
2001-11,20.05,1064,4.12,3.38
