Month,Value,Measure,Units,Geography
Jan-70,4.08,Price ppl,Pence per litre,K02000001
Feb-70,4.09,Price ppl,Pence per litre,K02000001
Mar-70,4.07,Price ppl,Pence per litre,K02000001
Apr-70,3.73,Price ppl,Pence per litre,K02000001
May-70,2.90,Price ppl,Pence per litre,K02000001
Jun-70,2.86,Price ppl,Pence per litre,K02000001
Jul-70,3.31,Price ppl,Pence per litre,K02000001
Aug-70,3.71,Price ppl,Pence per litre,K02000001
Sep-70,3.92,Price ppl,Pence per litre,K02000001
Oct-70,4.24,Price ppl,Pence per litre,K02000001
Nov-70,4.23,Price ppl,Pence per litre,K02000001
Dec-70,4.38,Price ppl,Pence per litre,K02000001
Jan-71,4.35,Price ppl,Pence per litre,K02000001
Feb-71,4.39,Price ppl,Pence per litre,K02000001
Mar-71,4.43,Price ppl,Pence per litre,K02000001
Apr-71,4.10,Price ppl,Pence per litre,K02000001
May-71,3.22,Price ppl,Pence per litre,K02000001
Jun-71,3.26,Price ppl,Pence per litre,K02000001
Jul-71,3.73,Price ppl,Pence per litre,K02000001
Aug-71,4.14,Price ppl,Pence per litre,K02000001
Sep-71,4.50,Price ppl,Pence per litre,K02000001
Oct-71,4.56,Price ppl,Pence per litre,K02000001
Nov-71,4.74,Price ppl,Pence per litre,K02000001
Dec-71,4.74,Price ppl,Pence per litre,K02000001
Jan-72,4.74,Price ppl,Pence per litre,K02000001
Feb-72,4.82,Price ppl,Pence per litre,K02000001
Mar-72,4.72,Price ppl,Pence per litre,K02000001
Apr-72,4.46,Price ppl,Pence per litre,K02000001
May-72,3.59,Price ppl,Pence per litre,K02000001
Jun-72,3.57,Price ppl,Pence per litre,K02000001
Jul-72,3.91,Price ppl,Pence per litre,K02000001
Aug-72,4.30,Price ppl,Pence per litre,K02000001
Sep-72,4.65,Price ppl,Pence per litre,K02000001
Oct-72,4.67,Price ppl,Pence per litre,K02000001
Nov-72,4.74,Price ppl,Pence per litre,K02000001
Dec-72,4.76,Price ppl,Pence per litre,K02000001
Jan-73,4.78,Price ppl,Pence per litre,K02000001
Feb-73,4.81,Price ppl,Pence per litre,K02000001
Mar-73,4.75,Price ppl,Pence per litre,K02000001
Apr-73,4.66,Price ppl,Pence per litre,K02000001
May-73,3.80,Price ppl,Pence per litre,K02000001
Jun-73,3.81,Price ppl,Pence per litre,K02000001
Jul-73,4.21,Price ppl,Pence per litre,K02000001
Aug-73,4.66,Price ppl,Pence per litre,K02000001
Sep-73,5.08,Price ppl,Pence per litre,K02000001
Oct-73,5.15,Price ppl,Pence per litre,K02000001
Nov-73,6.46,Price ppl,Pence per litre,K02000001
Dec-73,6.46,Price ppl,Pence per litre,K02000001
Jan-74,6.53,Price ppl,Pence per litre,K02000001
Feb-74,6.46,Price ppl,Pence per litre,K02000001
Mar-74,5.62,Price ppl,Pence per litre,K02000001
Apr-74,5.50,Price ppl,Pence per litre,K02000001
May-74,4.65,Price ppl,Pence per litre,K02000001
Jun-74,4.67,Price ppl,Pence per litre,K02000001
Jul-74,5.05,Price ppl,Pence per litre,K02000001
Aug-74,5.40,Price ppl,Pence per litre,K02000001
Sep-74,5.82,Price ppl,Pence per litre,K02000001
Oct-74,7.61,Price ppl,Pence per litre,K02000001
Nov-74,7.69,Price ppl,Pence per litre,K02000001
Dec-74,7.69,Price ppl,Pence per litre,K02000001
Jan-75,7.79,Price ppl,Pence per litre,K02000001
Feb-75,7.76,Price ppl,Pence per litre,K02000001
Mar-75,7.62,Price ppl,Pence per litre,K02000001
Apr-75,7.35,Price ppl,Pence per litre,K02000001
May-75,6.47,Price ppl,Pence per litre,K02000001
Jun-75,6.47,Price ppl,Pence per litre,K02000001
Jul-75,6.84,Price ppl,Pence per litre,K02000001
Aug-75,7.27,Price ppl,Pence per litre,K02000001
Sep-75,8.85,Price ppl,Pence per litre,K02000001
Oct-75,8.61,Price ppl,Pence per litre,K02000001
Nov-75,8.69,Price ppl,Pence per litre,K02000001
Dec-75,8.74,Price ppl,Pence per litre,K02000001
Jan-76,8.80,Price ppl,Pence per litre,K02000001
Feb-76,8.76,Price ppl,Pence per litre,K02000001
Mar-76,8.63,Price ppl,Pence per litre,K02000001
Apr-76,9.06,Price ppl,Pence per litre,K02000001
May-76,8.19,Price ppl,Pence per litre,K02000001
Jun-76,8.16,Price ppl,Pence per litre,K02000001
